months_as_customer,age,policy_state,policy_csl,policy_detuctable,policy_monthly_premium,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,incident_date,incident_type,collision_type,incident_severity,incident_state,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_year,fraud_reported,total_policy_premium_by_months_customer
399,55, Illinois,500/1000,2000,"8,296",99556,MALE,JD,tech-support,sleeping,not-in-family,7/2/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,23,3,YES,1,YES,88400,17680,8840,61880,Nissan,2010,NO,3310237
176,39,Ohio,250/500,500,"11,379",136546,MALE,College,armed-forces,sleeping,unmarried,5/2/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,14,3,NO,2,NO,44280,4920,4920,34440,Chevrolet,2008,NO,2002675
229,37, Illinois,250/500,2000,"10,101",121212,FEMALE,MD,craft-repair,paintball,not-in-family,29/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,14,3,YES,1,YES,68760,11460,5730,51570,Ford,1995,NO,2313129
396,57,Indiana,100/300,1000,"11,387",136639,MALE,High School,protective-serv,exercise,other-relative,30/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,NC,22,3,YES,2,NO,52560,11680,5840,35040,Saab,1995,NO,4509087
115,30,Ohio,500/1000,500,"14,643",175721,MALE,High School,prof-specialty,base-jumping,wife,2/2/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,12,3,NO,1,YES,49140,5460,5460,38220,Ford,2007,NO,1683993
160,36,Ohio,100/300,1000,"9,322",111858,FEMALE,High School,prof-specialty,board-games,husband,22/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,5,3,NO,2,NO,51700,5170,10340,36190,Saab,2003,NO,1491440
247,44,Ohio,250/500,2000,"9,179",110151,FEMALE,College,farming-fishing,camping,not-in-family,11/2/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,22,3,NO,2,NO,69480,11580,11580,46320,Chevrolet,2008,NO,2267275
303,50,Ohio,100/300,500,"6,610",79315,MALE,MD,tech-support,board-games,own-child,14/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,17,3,NO,0,NO,81960,13660,13660,54640,Dodge,2008,NO,2002704
264,43, Illinois,500/1000,2000,"11,278",135333,MALE,Associate,adm-clerical,video-games,not-in-family,12/2/2015,Multi-vehicle Collision,Front Collision,Minor Damage,WV,9,3,YES,2,NO,95150,17300,17300,60550,Ford,2007,NO,2977326
218,41, Illinois,100/300,500,"7,619",91422,MALE,JD,prof-specialty,golf,wife,22/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,14,3,NO,2,NO,84590,15380,7690,61520,Saab,2013,NO,1660833
126,34,Indiana,100/300,2000,"8,985",107822,FEMALE,Masters,transport-moving,camping,wife,23/02/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,2,3,NO,0,YES,58410,10620,5310,42480,Chevrolet,2007,NO,1132131
35,35, Illinois,100/300,2000,"9,312",111742,FEMALE,PhD,protective-serv,kayaking,not-in-family,14/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NC,23,3,NO,2,NO,53190,5910,11820,35460,Volkswagen,1996,NO,325914
195,38, Illinois,500/1000,2000,"10,791",129493,MALE,MD,tech-support,video-games,unmarried,14/02/2015,Multi-vehicle Collision,Front Collision,Minor Damage,WV,12,3,YES,1,NO,64620,7180,0,57440,Dodge,2003,NO,2104261
360,51, Illinois,250/500,1000,"9,601",115212,MALE,PhD,armed-forces,hiking,not-in-family,5/2/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,15,3,NO,2,YES,90480,15080,15080,60320,BMW,2000,NO,3456360
146,36,Ohio,500/1000,2000,"10,283",123396,FEMALE,Masters,other-service,golf,other-relative,5/2/2015,Multi-vehicle Collision,Side Collision,Total Loss,NC,16,3,NO,1,NO,55900,5590,5590,44720,Nissan,2015,NO,1501318
264,44, Illinois,100/300,500,"8,726",104706,MALE,College,exec-managerial,sleeping,wife,13/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,20,3,NO,0,NO,69850,12700,6350,50800,Ford,1999,NO,2303532
298,49,Ohio,250/500,500,"7,191",86292,MALE,MD,machine-op-inspct,camping,wife,17/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,16,3,NO,0,NO,69480,11580,11580,46320,Saab,2007,NO,2142918
126,30, Illinois,500/1000,2000,"7,634",91613,MALE,College,sales,golf,unmarried,7/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,16,3,YES,2,NO,74160,6180,12360,55620,Mercedes,2002,NO,961937
196,41, Illinois,250/500,2000,"15,006",180076,MALE,JD,protective-serv,camping,other-relative,14/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,0,3,NO,1,NO,47800,4780,4780,38240,Jeep,2009,NO,2941241
85,30,Ohio,100/300,1000,"6,636",79635,FEMALE,MD,craft-repair,video-games,own-child,20/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,9,3,YES,2,YES,58960,5360,10720,42880,Ford,2004,NO,564081
316,45, Illinois,100/300,2000,"10,756",129074,FEMALE,High School,prof-specialty,kayaking,husband,12/2/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,6,3,NO,2,YES,78870,7170,14340,57360,Suburu,2013,NO,3398949
169,38, Illinois,100/300,1000,"12,966",155594,MALE,PhD,craft-repair,skydiving,own-child,25/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,12,3,NO,1,YES,79080,6590,13180,59310,Mercedes,2012,NO,2191282
259,42,Ohio,100/300,2000,"9,754",117053,FEMALE,PhD,armed-forces,sleeping,wife,12/1/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,17,3,NO,1,YES,62590,5690,11380,45520,Nissan,2006,NO,2526394
440,55, Illinois,250/500,500,"10,630",127562,FEMALE,Associate,priv-house-serv,reading,other-relative,23/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NY,18,3,YES,2,NO,61400,6140,6140,49120,Nissan,1995,NO,4677273
93,31, Illinois,100/300,2000,"8,477",101718,FEMALE,MD,prof-specialty,paintball,husband,17/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NC,21,3,YES,1,NO,48070,8740,8740,30590,Saab,2014,NO,788315
37,25,Ohio,100/300,1000,"10,176",122117,FEMALE,Masters,protective-serv,golf,not-in-family,24/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,4,3,YES,0,YES,51030,5670,11340,34020,Suburu,1996,NO,376527
204,40, Illinois,100/300,500,"1,047",12562,FEMALE,JD,sales,hiking,not-in-family,7/1/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,10,3,YES,1,YES,41700,8340,8340,25020,Saab,2013,NO,213554
294,49,Indiana,500/1000,500,"9,462",113543,MALE,Masters,farming-fishing,bungie-jumping,own-child,4/2/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,23,3,YES,1,YES,42900,3900,3900,35100,Chevrolet,2010,NO,2781804
292,42,Indiana,250/500,1000,"13,235",158822,MALE,JD,machine-op-inspct,camping,other-relative,15/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,15,3,YES,1,NO,84600,16920,8460,59220,Chevrolet,2007,NO,3864669
158,33,Ohio,100/300,1000,"14,539",174464,MALE,JD,prof-specialty,movies,unmarried,7/2/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,4,3,NO,0,NO,36400,3640,7280,25480,Volkswagen,1998,NO,2297109
241,39,Ohio,250/500,1000,"10,505",126056,FEMALE,JD,adm-clerical,paintball,own-child,22/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,20,3,NO,0,YES,37520,4690,4690,28140,Jeep,2010,NO,2531625
160,38,Ohio,250/500,500,"14,446",173356,MALE,High School,sales,sleeping,wife,9/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,13,3,NO,2,YES,66780,7420,14840,44520,Mercedes,1996,NO,2311413
303,46,Indiana,100/300,1000,"5,910",70914,MALE,Masters,machine-op-inspct,kayaking,husband,12/2/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,3,3,NO,1,NO,54890,9980,4990,39920,Toyota,2006,NO,1790579
75,27,Indiana,250/500,1000,"10,023",120275,MALE,High School,handlers-cleaners,board-games,not-in-family,21/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,SC,23,3,NO,0,YES,79560,6630,13260,59670,Volkswagen,2003,NO,751719
362,55,Ohio,100/300,1000,"9,150",109799,FEMALE,JD,other-service,base-jumping,unmarried,17/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,0,3,NO,0,NO,39690,0,0,39690,Suburu,1998,NO,3312270
249,43,Ohio,100/300,2000,"9,572",114858,FEMALE,MD,adm-clerical,golf,not-in-family,16/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,4,3,YES,2,YES,57100,5710,5710,45680,Honda,2014,NO,2383304
103,27,Indiana,100/300,1000,"12,811",153733,FEMALE,College,handlers-cleaners,board-games,husband,20/02/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,11,3,YES,1,NO,77700,7770,15540,54390,Jeep,2008,NO,1319542
109,29,Ohio,100/300,2000,"8,394",100728,FEMALE,High School,adm-clerical,movies,husband,21/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NY,17,3,NO,1,YES,91080,16560,16560,57960,Jeep,1995,NO,914946
446,57,Indiana,100/300,2000,"11,443",137321,MALE,College,adm-clerical,sleeping,unmarried,14/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,10,3,NO,0,NO,62800,6280,12560,43960,Jeep,2012,NO,5103764
172,33, Illinois,100/300,1000,"12,166",145996,FEMALE,High School,adm-clerical,reading,wife,7/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,15,3,NO,0,NO,41690,7580,7580,26530,Saab,1999,NO,2092609
434,57,Ohio,500/1000,2000,"11,858",142295,MALE,JD,transport-moving,bungie-jumping,husband,17/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,15,3,NO,1,NO,66240,11040,11040,44160,Nissan,2003,NO,5146336
61,25,Indiana,100/300,2000,"8,234",98806,FEMALE,Masters,other-service,dancing,not-in-family,5/2/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,WV,1,3,YES,1,NO,32320,4040,4040,24240,Dodge,2000,NO,502264
32,29,Ohio,100/300,500,"12,058",144698,MALE,MD,adm-clerical,sleeping,own-child,11/2/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NY,11,3,YES,2,NO,57970,10540,5270,42160,Saab,2006,NO,385861
148,30,Ohio,100/300,500,"12,260",147124,FEMALE,Masters,farming-fishing,camping,own-child,15/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NC,4,3,NO,2,NO,32480,4060,4060,24360,Dodge,1997,NO,1814529
290,47,Indiana,250/500,1000,"11,611",139334,MALE,High School,exec-managerial,bungie-jumping,other-relative,15/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,20,3,YES,1,YES,56160,6240,12480,37440,Audi,2002,NO,3367238
134,36,Ohio,250/500,1000,"12,478",149741,MALE,PhD,machine-op-inspct,kayaking,husband,25/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,17,3,NO,2,YES,77200,9650,9650,57900,Ford,1996,NO,1672108
38,28,Ohio,500/1000,500,"9,358",112295,MALE,Masters,priv-house-serv,golf,other-relative,23/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,4,3,NO,0,YES,74880,12480,12480,49920,Accura,2000,NO,355601
284,43, Illinois,250/500,500,"9,365",112384,MALE,PhD,prof-specialty,kayaking,other-relative,23/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,12,3,NO,0,YES,36960,6720,3360,26880,Chevrolet,2007,NO,2659755
293,45, Illinois,100/300,1000,"9,327",111923,FEMALE,MD,exec-managerial,exercise,unmarried,18/02/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,13,3,NO,1,NO,51210,11380,5690,34140,Jeep,2015,NO,2732787
255,39,Ohio,250/500,500,"12,116",145395,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,7/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,17,3,YES,0,NO,29300,2930,5860,20510,Audi,2010,NO,3089644
37,31, Illinois,500/1000,500,"16,414",196963,FEMALE,MD,sales,skydiving,own-child,13/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,WV,21,3,NO,1,YES,76450,6950,13900,55600,Dodge,1995,NO,607303
366,50,Indiana,500/1000,1000,"13,012",156141,FEMALE,High School,handlers-cleaners,basketball,husband,4/1/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,5,3,YES,1,NO,70290,12780,12780,44730,Mercedes,2012,NO,4762301
253,46, Illinois,100/300,500,"1,132",13582,FEMALE,MD,transport-moving,movies,husband,14/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,11,3,YES,0,NO,64570,5870,11740,46960,Jeep,2001,NO,286354
255,46, Illinois,250/500,500,"10,853",130234,FEMALE,JD,prof-specialty,video-games,own-child,12/1/2015,Multi-vehicle Collision,Front Collision,Minor Damage,WV,2,3,NO,1,NO,57860,5260,10520,42080,Volkswagen,2011,NO,2767473
174,33,Indiana,250/500,2000,"9,370",112443,FEMALE,College,farming-fishing,paintball,own-child,16/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,14,3,YES,0,YES,44200,8840,4420,30940,Saab,1995,NO,1630424
161,38, Illinois,100/300,2000,"9,449",113385,MALE,PhD,priv-house-serv,exercise,not-in-family,3/1/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,0,3,YES,2,YES,60480,5040,15120,40320,Volkswagen,2003,NO,1521249
169,39,Ohio,100/300,2000,"9,501",114015,MALE,High School,armed-forces,exercise,husband,19/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,VA,9,3,YES,0,NO,46200,4200,8400,33600,Suburu,2015,NO,1605711
320,48, Illinois,250/500,2000,"14,421",173049,MALE,College,transport-moving,hiking,not-in-family,24/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,WV,13,3,NO,2,NO,56160,4680,9360,42120,Saab,1995,NO,4614640
259,43, Illinois,500/1000,2000,"12,809",153713,FEMALE,PhD,handlers-cleaners,kayaking,own-child,2/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,3,3,NO,0,YES,57060,6340,6340,44380,Ford,2012,NO,3317639
57,25, Illinois,500/1000,2000,"9,526",114306,FEMALE,Masters,tech-support,dancing,own-child,16/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,0,3,NO,0,YES,72900,14580,14580,43740,Nissan,2010,NO,542954
105,28,Ohio,250/500,500,"9,020",108236,FEMALE,Associate,prof-specialty,golf,own-child,24/01/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,12,3,NO,2,NO,60500,12100,6050,42350,Audi,1995,NO,947065
13,21,Indiana,100/300,1000,"12,969",155631,MALE,Associate,prof-specialty,golf,not-in-family,19/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,19,3,YES,2,YES,94930,8630,8630,77670,Accura,2014,NO,168600
312,47,Ohio,500/1000,1000,"10,101",121207,FEMALE,MD,exec-managerial,polo,wife,1/3/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,17,3,NO,2,NO,56320,7040,7040,42240,Mercedes,2000,NO,3151382
230,42,Indiana,100/300,1000,"8,526",102311,FEMALE,MD,adm-clerical,golf,own-child,6/2/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,13,3,NO,1,YES,58850,10700,10700,37450,Accura,1999,NO,1960961
212,40, Illinois,500/1000,1000,"12,704",152445,FEMALE,Masters,other-service,golf,husband,11/2/2015,Multi-vehicle Collision,Side Collision,Minor Damage,NY,17,3,YES,0,YES,82400,8240,8240,65920,Nissan,2006,NO,2693195
191,38, Illinois,100/300,2000,"10,445",125344,FEMALE,Masters,craft-repair,sleeping,not-in-family,7/2/2015,Multi-vehicle Collision,Side Collision,Major Damage,VA,19,3,NO,2,NO,56320,10240,5120,40960,Volkswagen,2007,NO,1995059
64,28, Illinois,500/1000,1000,"12,240",146882,MALE,JD,handlers-cleaners,skydiving,other-relative,13/02/2015,Multi-vehicle Collision,Side Collision,Minor Damage,SC,9,3,NO,2,NO,60000,5000,10000,45000,Honda,1997,NO,783371
97,27,Ohio,500/1000,500,"13,236",158826,FEMALE,High School,tech-support,movies,husband,24/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,VA,22,3,YES,2,YES,75690,8410,8410,58870,Saab,2014,NO,1283844
225,43,Ohio,100/300,1000,"12,646",151754,MALE,JD,priv-house-serv,camping,own-child,9/1/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,16,3,NO,2,YES,64400,6440,6440,51520,BMW,2011,NO,2845388
178,38, Illinois,250/500,500,"11,510",138114,FEMALE,College,other-service,camping,wife,22/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,10,3,NO,0,NO,57200,5200,10400,41600,BMW,2011,NO,2048691
135,30,Indiana,500/1000,2000,"11,177",134124,FEMALE,MD,farming-fishing,skydiving,wife,19/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,WV,18,3,NO,0,NO,32670,5940,2970,23760,Honda,2003,NO,1508895
421,57,Indiana,250/500,2000,"10,052",120626,FEMALE,Associate,armed-forces,bungie-jumping,own-child,31/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,NC,22,3,YES,0,NO,78500,15700,7850,54950,Audi,2015,NO,4231962
412,56, Illinois,250/500,500,"8,688",104256,MALE,High School,handlers-cleaners,yachting,own-child,20/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,SC,19,3,NO,0,NO,68040,15120,7560,45360,Suburu,1997,NO,3579456
252,46,Indiana,500/1000,2000,889,10667,FEMALE,JD,handlers-cleaners,sleeping,own-child,30/01/2015,Multi-vehicle Collision,Front Collision,Total Loss,VA,22,3,NO,0,NO,89520,14920,14920,59680,Audi,2014,NO,224007
95,32,Indiana,500/1000,2000,"11,305",135664,MALE,Masters,machine-op-inspct,golf,not-in-family,23/02/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,21,3,YES,0,YES,83160,15120,15120,52920,Toyota,2003,NO,1074007
41,25,Ohio,100/300,1000,"8,368",100414,MALE,Masters,priv-house-serv,sleeping,wife,15/02/2015,Multi-vehicle Collision,Front Collision,Major Damage,NC,13,3,NO,1,NO,48000,9600,4800,33600,Dodge,1995,NO,343081
194,34, Illinois,100/300,500,"11,916",142996,FEMALE,JD,protective-serv,board-games,husband,12/1/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,11,3,NO,1,YES,57200,11440,5720,40040,Toyota,2005,NO,2311769
372,50,Ohio,500/1000,2000,"11,405",136857,FEMALE,MD,tech-support,paintball,other-relative,3/1/2015,Multi-vehicle Collision,Side Collision,Major Damage,NY,18,3,NO,2,YES,51800,5180,10360,36260,Accura,2003,NO,4242567
94,26,Indiana,100/300,500,"6,022",72266,MALE,MD,exec-managerial,camping,husband,23/01/2015,Multi-vehicle Collision,Front Collision,Major Damage,OH,6,3,YES,1,YES,36700,3670,7340,25690,Nissan,2010,NO,566084
473,58,Indiana,100/300,2000,943,11314,FEMALE,MD,transport-moving,movies,other-relative,29/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,WV,12,4,YES,0,NO,63120,10520,10520,42080,Accura,1999,YES,445960
29,25, Illinois,250/500,2000,"11,274",135283,MALE,Masters,farming-fishing,skydiving,own-child,22/01/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,4,4,YES,1,YES,64890,7210,7210,50470,Nissan,2013,YES,326934
22,25,Ohio,250/500,2000,"8,777",105324,FEMALE,College,prof-specialty,movies,other-relative,5/1/2015,Multi-vehicle Collision,Front Collision,Total Loss,NC,0,4,YES,1,NO,77130,8570,17140,51420,Accura,1995,NO,193094
295,48,Ohio,500/1000,1000,"11,101",133207,FEMALE,MD,exec-managerial,polo,unmarried,28/01/2015,Multi-vehicle Collision,Side Collision,Total Loss,NY,20,2,NO,2,YES,86060,13240,13240,59580,Volkswagen,2002,NO,3274672
285,44, Illinois,500/1000,1000,"13,287",159445,MALE,High School,handlers-cleaners,bungie-jumping,husband,5/2/2015,Multi-vehicle Collision,Side Collision,Total Loss,NC,17,2,YES,2,NO,55680,6960,6960,41760,Saab,2006,NO,3786819
343,48,Indiana,250/500,500,"12,096",145154,MALE,JD,adm-clerical,hiking,husband,8/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,13,4,NO,2,NO,65070,7230,14460,43380,Mercedes,2003,NO,4148985
97,26, Illinois,250/500,1000,"10,434",125208,MALE,College,exec-managerial,sleeping,not-in-family,8/2/2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,4,2,YES,2,NO,50400,10080,5040,35280,Honda,2000,YES,1012098
157,31,Indiana,500/1000,500,"10,482",125783,MALE,High School,farming-fishing,reading,own-child,14/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,OH,2,4,NO,2,NO,47700,4770,9540,33390,Accura,2011,YES,1645661
369,53,Ohio,250/500,2000,"12,166",145993,FEMALE,Masters,priv-house-serv,video-games,not-in-family,9/2/2015,Multi-vehicle Collision,Front Collision,Total Loss,WV,10,2,YES,1,NO,77990,7090,14180,56720,Jeep,2012,NO,4489285
264,47,Indiana,250/500,2000,"9,846",118146,FEMALE,JD,transport-moving,sleeping,other-relative,12/2/2015,Multi-vehicle Collision,Front Collision,Total Loss,OH,16,4,YES,1,YES,62370,5670,5670,51030,Dodge,2001,NO,2599212
61,26,Ohio,100/300,2000,"9,902",118828,FEMALE,JD,farming-fishing,skydiving,wife,14/02/2015,Multi-vehicle Collision,Rear Collision,Major Damage,VA,16,2,YES,1,NO,53820,11960,5980,35880,Ford,2015,YES,604042
220,42,Indiana,100/300,1000,"10,681",128172,MALE,College,farming-fishing,hiking,other-relative,13/02/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,SC,20,4,NO,0,YES,47740,4340,4340,39060,Honda,2005,NO,2349820
415,52,Indiana,250/500,1000,811,9735,MALE,PhD,machine-op-inspct,polo,not-in-family,2/2/2015,Multi-vehicle Collision,Rear Collision,Total Loss,WV,15,2,YES,1,YES,51090,7860,7860,35370,Toyota,2003,NO,336669
130,28,Ohio,500/1000,1000,"8,360",100315,FEMALE,JD,farming-fishing,movies,other-relative,23/01/2015,Multi-vehicle Collision,Front Collision,Minor Damage,SC,21,2,YES,2,NO,85020,13080,13080,58860,Ford,2010,NO,1086746
303,50, Illinois,100/300,2000,"6,968",83611,MALE,Masters,sales,camping,not-in-family,20/01/2015,Multi-vehicle Collision,Side Collision,Major Damage,SC,1,4,YES,1,NO,72840,12140,6070,54630,Dodge,2010,NO,2111178
147,37,Ohio,500/1000,1000,"1,200",14399,FEMALE,Associate,prof-specialty,video-games,husband,29/01/2015,Multi-vehicle Collision,Rear Collision,Total Loss,SC,2,2,NO,1,NO,53680,9760,4880,39040,Accura,2004,NO,176388
238,43,Ohio,250/500,1000,"12,704",152445,MALE,High School,handlers-cleaners,chess,wife,16/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NC,21,4,NO,0,NO,42700,4270,4270,34160,Saab,1995,YES,3023493
162,33,Ohio,250/500,500,"8,041",96492,FEMALE,Associate,exec-managerial,base-jumping,other-relative,9/2/2015,Multi-vehicle Collision,Rear Collision,Major Damage,NY,17,4,NO,2,NO,35300,3530,3530,28240,Mercedes,1996,YES,1302642
405,55, Illinois,250/500,500,"7,318",87819,MALE,PhD,machine-op-inspct,golf,unmarried,1/3/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NC,2,4,YES,0,NO,38640,4830,4830,28980,Chevrolet,1997,NO,2963891
70,28, Illinois,250/500,1000,"10,998",131981,MALE,High School,machine-op-inspct,yachting,husband,28/01/2015,Multi-vehicle Collision,Side Collision,Minor Damage,WV,14,4,NO,1,YES,31680,3520,3520,24640,Toyota,2006,NO,769889
85,27, Illinois,500/1000,2000,"9,785",117414,MALE,College,priv-house-serv,dancing,unmarried,2/2/2015,Multi-vehicle Collision,Rear Collision,Minor Damage,NY,14,4,YES,0,NO,59070,10740,5370,42960,Toyota,2012,NO,831683
212,39,Ohio,100/300,1000,"10,461",125535,FEMALE,JD,protective-serv,skydiving,not-in-family,14/02/2015,Multi-vehicle Collision,Rear Collision,Total Loss,NY,22,2,NO,0,YES,59300,11860,5930,41510,Dodge,2008,NO,2217785
140,36,Ohio,500/1000,2000,"8,161",97926,FEMALE,JD,transport-moving,cross-fit,own-child,1/3/2015,Multi-vehicle Collision,Front Collision,Major Damage,NY,2,4,YES,0,YES,72800,14560,14560,43680,Honda,1998,NO,1142470
310,48,Indiana,100/300,500,"12,636",151634,FEMALE,JD,adm-clerical,sleeping,unmarried,4/1/2015,Multi-vehicle Collision,Rear Collision,Major Damage,SC,11,4,YES,0,NO,59400,13200,6600,39600,Saab,1996,YES,3917212
290,45,583169,IL,100/300,Audi,500,1085.03,0,FEMALE,JD,sales,cross-fit,wife,3/1/2015,Multi-vehicle Collision,Side Collision,Total Loss,VA,Arlington,23,3,YES,2,NO,64800,12960,6480,45360,A3
299,42,337677,OH,100/300,BMW,2000,1437.33,0,FEMALE,Associate,craft-repair,movies,wife,2/24/2015,Single Vehicle Collision,Rear Collision,Minor Damage,SC,Columbus,13,1,YES,1,NO,70400,12800,12800,44800,3 Series
66,26,445973,IL,250/500,Suburu,1000,988.29,0,MALE,College,armed-forces,skydiving,own-child,2/2/2015,Single Vehicle Collision,Rear Collision,Major Damage,NY,Northbend,8,1,?,2,YES,57860,0,10520,47340,Impreza
334,47,156694,IL,500/1000,Ford,500,1238.89,0,MALE,Masters,protective-serv,sleeping,other-relative,1/31/2015,Vehicle Theft,?,Minor Damage,WV,Northbend,3,1,?,0,NO,6240,960,960,4320,Fusion
216,38,421940,IN,100/300,Jeep,1000,1384.64,5000000,FEMALE,Associate,tech-support,board-games,unmarried,1/9/2015,Single Vehicle Collision,Rear Collision,Total Loss,VA,Columbus,16,1,?,2,NO,66600,16650,11100,38850,Grand Cherokee
86,28,613226,IN,100/300,Jeep,2000,1595.07,0,MALE,PhD,transport-moving,hiking,unmarried,2/23/2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,Hillsdale,19,1,YES,0,YES,70920,11820,11820,47280,Wrangler
429,56,804410,OH,250/500,Suburu,1000,1127.89,6000000,MALE,Associate,machine-op-inspct,skydiving,own-child,1/28/2015,Single Vehicle Collision,Rear Collision,Minor Damage,WV,Springfield,0,1,YES,2,YES,39480,6580,6580,26320,Forrestor
257,43,553565,IN,500/1000,Mercedes,2000,929.7,6000000,FEMALE,PhD,handlers-cleaners,base-jumping,husband,1/14/2015,Single Vehicle Collision,Front Collision,Total Loss,VA,Arlington,12,1,?,2,YES,63240,10540,5270,47430,E400
15,34,399524,IL,100/300,Audi,1000,1829.63,0,MALE,JD,tech-support,cross-fit,not-in-family,2/3/2015,Multi-vehicle Collision,Side Collision,Total Loss,SC,Arlington,21,3,YES,1,?,67650,12300,6150,49200,A5
230,39,331595,IL,100/300,Accura,1000,904.7,7000000,FEMALE,MD,craft-repair,bungie-jumping,unmarried,2/17/2015,Single Vehicle Collision,Front Collision,Major Damage,SC,Riverwood,0,1,?,1,NO,74200,14840,14840,44520,TL
250,43,380067,OH,500/1000,Volkswagen,1000,1243.84,0,FEMALE,JD,tech-support,polo,own-child,1/30/2015,Single Vehicle Collision,Side Collision,Minor Damage,VA,Columbus,22,1,YES,1,NO,64900,12980,12980,38940,Jetta
